Esperimento,Attacco,Tipo Attacco,Parametro,Variante,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,jpeg@30@original,jpeg,30,original,2.5400,0.6757,0.5032
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_center@0.9@immunized,crop_center,0.9,immunized,5.0700,0.4784,0.2157
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_center@0.9@original,crop_center,0.9,original,3.0367,0.5836,0.4218
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_center@0.75@immunized,crop_center,0.75,immunized,5.6067,0.3856,0.1866
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_center@0.75@original,crop_center,0.75,original,3.1200,0.5038,0.3380
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_center@0.5@immunized,crop_center,0.5,immunized,5.7267,0.3626,0.1460
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_center@0.5@original,crop_center,0.5,original,3.3500,0.3528,0.2149
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_random@0.9@immunized,crop_random,0.9,immunized,5.4933,0.4686,0.2237
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_random@0.9@original,crop_random,0.9,original,2.8100,0.5731,0.4120
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_random@0.75@immunized,crop_random,0.75,immunized,5.9533,0.3886,0.1644
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_random@0.75@original,crop_random,0.75,original,2.8867,0.4214,0.2819
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_random@0.5@immunized,crop_random,0.5,immunized,6.4333,0.2754,0.0931
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,crop_random@0.5@original,crop_random,0.5,original,3.0933,0.3072,0.1887
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@0.5@immunized,blur,0.5,immunized,4.2667,0.5026,0.2395
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@0.5@original,blur,0.5,original,2.5300,0.6702,0.5472
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@1.0@immunized,blur,1.0,immunized,2.7667,0.5801,0.3248
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@1.0@original,blur,1.0,original,2.3400,0.6322,0.4623
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@2.0@immunized,blur,2.0,immunized,3.5567,0.5035,0.2608
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@2.0@original,blur,2.0,original,3.0700,0.5915,0.3809
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@4.0@immunized,blur,4.0,immunized,3.6933,0.4876,0.2119
./robustness_results/InstructPix2Pix/MagicBrush_target_opt,blur@4.0@original,blur,4.0,original,3.9033,0.4813,0.2065
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,clean@None@immunized,clean,,immunized,6.8067,0.3283,0.0885
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,clean@None@original,clean,,original,1.2400,1.0000,1.0000
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@85@immunized,jpeg,85,immunized,6.2133,0.3370,0.1284
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@85@original,jpeg,85,original,1.7900,0.7598,0.5529
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@60@immunized,jpeg,60,immunized,5.6033,0.4824,0.1896
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@60@original,jpeg,60,original,2.3033,0.6798,0.4507
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@30@immunized,jpeg,30,immunized,5.6767,0.5378,0.2274
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,jpeg@30@original,jpeg,30,original,2.8867,0.5626,0.3349
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.9@immunized,crop_center,0.9,immunized,6.3133,0.3537,0.1056
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.9@original,crop_center,0.9,original,3.0933,0.5404,0.3203
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.75@immunized,crop_center,0.75,immunized,7.0000,0.3821,0.0860
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.75@original,crop_center,0.75,original,4.0900,0.4092,0.2414
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.5@immunized,crop_center,0.5,immunized,6.7800,0.3044,0.0747
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_center@0.5@original,crop_center,0.5,original,3.4600,0.3638,0.1678
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.9@immunized,crop_random,0.9,immunized,6.6567,0.3827,0.0921
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.9@original,crop_random,0.9,original,3.2167,0.5198,0.3255
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.75@immunized,crop_random,0.75,immunized,6.6867,0.2565,0.0885
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.75@original,crop_random,0.75,original,3.8533,0.4196,0.2404
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.5@immunized,crop_random,0.5,immunized,6.9800,0.2206,0.0449
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,crop_random@0.5@original,crop_random,0.5,original,3.6933,0.3066,0.1638
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@0.5@immunized,blur,0.5,immunized,6.8133,0.4188,0.1039
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@0.5@original,blur,0.5,original,1.4600,0.7732,0.6150
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@1.0@immunized,blur,1.0,immunized,4.3433,0.4671,0.2188
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@1.0@original,blur,1.0,original,2.4500,0.6665,0.4328
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@2.0@immunized,blur,2.0,immunized,3.6933,0.5287,0.2649
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@2.0@original,blur,2.0,original,2.9833,0.5927,0.3106
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@4.0@immunized,blur,4.0,immunized,5.0567,0.5010,0.2192
./robustness_results/SD_Img2Img/MagicBrush_gray_FT,blur@4.0@original,blur,4.0,original,4.1900,0.5351,0.2472
./robustness_results/SD_Img2Img/MagicBrush_photoguard,clean@None@immunized,clean,,immunized,6.3100,0.2717,0.0896
./robustness_results/SD_Img2Img/MagicBrush_photoguard,clean@None@original,clean,,original,1.2400,1.0000,1.0000
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@85@immunized,jpeg,85,immunized,3.0267,0.5554,0.2601
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@85@original,jpeg,85,original,1.7900,0.7598,0.5529
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@60@immunized,jpeg,60,immunized,2.8367,0.6801,0.3981
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@60@original,jpeg,60,original,2.3033,0.6798,0.4507
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@30@immunized,jpeg,30,immunized,3.3333,0.5675,0.2915
./robustness_results/SD_Img2Img/MagicBrush_photoguard,jpeg@30@original,jpeg,30,original,2.8867,0.5626,0.3349
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.9@immunized,crop_center,0.9,immunized,5.9400,0.3877,0.1263
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.9@original,crop_center,0.9,original,3.0933,0.5404,0.3203
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.75@immunized,crop_center,0.75,immunized,6.5167,0.3184,0.1130
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.75@original,crop_center,0.75,original,4.0900,0.4092,0.2414
./robustness_results/SD_Img2Img/MagicBrush_photoguard,crop_center@0.5@immunized,crop_center,0.5,immunized,5.6833,0.2878,0.0844
