Esperimento,attack_success_score__blur@0.5,attack_success_score__blur@1.0,attack_success_score__blur@2.0,attack_success_score__blur@4.0,attack_success_score__clean@None,attack_success_score__crop_center@0.5,attack_success_score__crop_center@0.75,attack_success_score__crop_center@0.9,attack_success_score__crop_random@0.5,attack_success_score__crop_random@0.75,attack_success_score__crop_random@0.9,attack_success_score__jpeg@50,attack_success_score__jpeg@60,attack_success_score__jpeg@85,optimistic_iou__blur@0.5,optimistic_iou__blur@1.0,optimistic_iou__blur@2.0,optimistic_iou__blur@4.0,optimistic_iou__clean@None,optimistic_iou__crop_center@0.5,optimistic_iou__crop_center@0.75,optimistic_iou__crop_center@0.9,optimistic_iou__crop_random@0.5,optimistic_iou__crop_random@0.75,optimistic_iou__crop_random@0.9,optimistic_iou__jpeg@50,optimistic_iou__jpeg@60,optimistic_iou__jpeg@85,pessimistic_iou__blur@0.5,pessimistic_iou__blur@1.0,pessimistic_iou__blur@2.0,pessimistic_iou__blur@4.0,pessimistic_iou__clean@None,pessimistic_iou__crop_center@0.5,pessimistic_iou__crop_center@0.75,pessimistic_iou__crop_center@0.9,pessimistic_iou__crop_random@0.5,pessimistic_iou__crop_random@0.75,pessimistic_iou__crop_random@0.9,pessimistic_iou__jpeg@50,pessimistic_iou__jpeg@60,pessimistic_iou__jpeg@85
./robustness_results/SD_Img2Img/PhotoGuard,7.0000,4.2367,4.2933,4.4233,7.0000,7.0000,7.0000,6.8100,6.8600,6.8033,6.4667,4.3133,4.9100,5.7000,0.3362,0.5593,0.5987,0.5755,0.2927,0.3629,0.4204,0.3995,0.2544,0.2874,0.3604,0.5373,0.5324,0.4223,0.0684,0.3019,0.3267,0.2890,0.0643,0.0527,0.0653,0.0647,0.0396,0.0497,0.0667,0.3100,0.2778,0.1413
./robustness_results/SD_Img2Img/VAE_MSE_FT_2_STAGE,5.1125,3.5804,4.3771,4.9254,5.5113,5.9900,5.4629,4.8096,5.9046,5.3792,4.6571,3.2396,3.2071,3.5958,0.5335,0.6140,0.5541,0.5384,0.4829,0.2933,0.4176,0.4908,0.2836,0.3722,0.4643,0.6407,0.6214,0.5859,0.2769,0.3761,0.3235,0.2763,0.2327,0.1133,0.1756,0.2337,0.1103,0.1599,0.2163,0.4089,0.4042,0.3574
./robustness_results/SD_Img2Img/VAE_MSE_TARGET_OPT,5.4967,3.4667,4.0267,5.3600,5.4833,5.4300,5.4667,4.9700,5.9467,5.6667,4.6533,2.8400,3.2433,3.9200,0.5099,0.6468,0.5735,0.5472,0.4343,0.3033,0.3637,0.4551,0.2745,0.3832,0.4320,0.6424,0.6525,0.5808,0.2488,0.4227,0.3466,0.2814,0.1822,0.1001,0.1503,0.2044,0.1015,0.1673,0.1822,0.4470,0.4439,0.3903
./robustness_results/SD_Inpainting/DiffVax,4.4667,4.2867,4.2400,2.7033,4.8300,3.5100,2.8200,2.4433,4.5633,3.7533,3.5633,3.9467,4.7033,4.0567,0.4270,0.4166,0.3964,0.3582,0.4119,0.3199,0.4051,0.4420,0.2323,0.2823,0.3840,0.4138,0.4163,0.4082,0.1172,0.1368,0.1405,0.1400,0.1087,0.1330,0.1864,0.2150,0.0821,0.1147,0.1760,0.1312,0.1368,0.1174
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,4.5633,2.8067,3.4200,3.5700,5.4467,7.0000,6.8133,5.2733,7.0000,6.3833,6.1600,4.3267,4.4800,4.8100,0.5580,0.6672,0.6418,0.5670,0.5467,0.3147,0.4270,0.5675,0.2825,0.4017,0.5095,0.5937,0.6468,0.5697,0.3237,0.4285,0.4086,0.3244,0.2526,0.1071,0.1963,0.2823,0.0930,0.1589,0.2492,0.3747,0.3893,0.3233
./robustness_results/SD_Inpainting/MagicBrush_photoguard,2.3600,1.5133,2.0533,3.7333,3.7600,3.9967,3.2300,2.4700,4.8233,3.1800,2.7267,1.9800,1.9300,1.9633,0.6868,0.7546,0.6919,0.5941,0.6593,0.3467,0.4851,0.5954,0.2980,0.3986,0.5401,0.7204,0.7016,0.7014,0.4598,0.5649,0.5019,0.3525,0.4141,0.1726,0.2759,0.3838,0.1529,0.2426,0.3649,0.5467,0.5245,0.5181
./robustness_results/SD_Inpainting/MagicBrush_target_opt,4.5433,3.3367,3.6133,4.2233,5.6767,7.0000,6.5900,5.5067,7.0000,6.1700,5.5067,3.4733,4.2700,5.2633,0.5910,0.6700,0.6079,0.5409,0.5274,0.3156,0.4250,0.5242,0.2310,0.4057,0.4886,0.6208,0.6149,0.6064,0.3451,0.4274,0.3915,0.3120,0.2453,0.1141,0.2022,0.2751,0.0850,0.1645,0.2406,0.3991,0.3864,0.3403
./robustness_results/SD_Inpainting/PhotoGuard,3.0233,2.4167,3.2167,2.4233,3.4100,5.3767,4.1300,2.7133,6.1533,4.2167,3.6700,2.3467,2.3933,2.3967,0.4207,0.4470,0.3729,0.3991,0.3884,0.2845,0.3760,0.3851,0.2786,0.3301,0.3347,0.4706,0.4461,0.4341,0.1976,0.2035,0.1682,0.1488,0.1850,0.1122,0.1592,0.2053,0.1000,0.1360,0.1354,0.2486,0.2463,0.2215
./robustness_results/SD_Inpainting/VAE_MSE_FT_2_STAGE,3.8658,2.9871,3.2742,3.1108,5.7208,6.5287,6.4158,5.7192,6.4387,6.3700,5.7417,3.6608,3.9033,4.7200,0.4131,0.4234,0.3945,0.3826,0.3980,0.2693,0.3346,0.3703,0.2410,0.2837,0.3619,0.4351,0.4391,0.4133,0.1846,0.1933,0.1672,0.1632,0.1675,0.1028,0.1441,0.1708,0.0761,0.1090,0.1564,0.2112,0.2135,0.1880
./robustness_results/SD_Inpainting/VAE_MSE_TARGET_OPT,3.9600,3.5000,3.6900,2.8067,4.7900,6.4567,6.4533,6.2733,6.1867,6.7933,6.4567,4.5033,4.3067,4.4767,0.3838,0.4466,0.3912,0.3874,0.4000,0.2809,0.3518,0.3999,0.2489,0.2937,0.3487,0.4273,0.4286,0.3930,0.1683,0.1665,0.1388,0.1291,0.1416,0.1052,0.1392,0.1532,0.0764,0.1083,0.1347,0.1780,0.1684,0.1641
